user_id,work_location_id,first_name,last_name,work_start_date,name,locale,gender,location_id,education_year_id,education_type,birthday,education_degree_id,work_employer_id,work_position_id,languages_id,hometown_id,education_concentration_id,education_school_id,work_end_date
573.0,84.0,,324.0,,,278.0,78.0,84.0,61.0,55.0,0.0,,,,,,,318.0,
574.0,,,,,,278.0,77.0,84.0,259.0,55.0,209.0,,,,,84.0,,237.0,
575.0,,,,,,278.0,78.0,,67.0,55.0,,,,,101.0,,,318.0,332.0
576.0,,,,,,278.0,77.0,,67.0,55.0,0.0,,,,,,,247.0,
577.0,,,,157.0,,127.0,77.0,,257.0,55.0,,22.0,,,265.0,84.0,,228.0,157.0
578.0,,,,,,278.0,78.0,,67.0,55.0,1.0,,,,,84.0,,247.0,
579.0,84.0,,273.0,,,126.0,78.0,,67.0,55.0,0.0,223.0,331.0,301.0,265.0,84.0,,319.0,
580.0,,,273.0,,,127.0,77.0,128.0,,55.0,,,,,,,,52.0,
581.0,,,,,,126.0,78.0,,,,,,,,,,,,
582.0,,,275.0,,,278.0,78.0,,67.0,55.0,1.0,,,,,,,247.0,
583.0,,,,,,278.0,78.0,84.0,65.0,55.0,1.0,,,,,84.0,,228.0,
584.0,,,273.0,,,278.0,77.0,,71.0,55.0,2.0,,,,,84.0,,247.0,
585.0,,,327.0,,,278.0,78.0,,66.0,55.0,,,,,,,,247.0,
586.0,,,,,,127.0,77.0,,,,,,,,,,,,
587.0,,,273.0,,,127.0,77.0,281.0,62.0,54.0,,22.0,,,,,216.0,315.0,
373.0,,,324.0,,,127.0,77.0,,,55.0,,,,,,,216.0,52.0,
465.0,,,,,,127.0,78.0,,,,,,,,,,,,
378.0,,,,,,278.0,78.0,128.0,64.0,55.0,1.0,,,,,,15.0,52.0,
588.0,,,325.0,,,278.0,78.0,,67.0,55.0,,,,,,,,247.0,
107.0,,,273.0,,,127.0,78.0,,66.0,54.0,,22.0,,,,,,52.0,
589.0,,,,,,278.0,78.0,,67.0,55.0,0.0,,,,,,,237.0,
590.0,,,275.0,,,127.0,77.0,129.0,,55.0,,,52.0,,,84.0,,322.0,
591.0,,,,,,127.0,77.0,128.0,,55.0,209.0,,,,,298.0,217.0,52.0,
592.0,,,110.0,,,278.0,78.0,,67.0,55.0,0.0,22.0,,,265.0,84.0,,248.0,
593.0,,,,,,127.0,78.0,,71.0,55.0,3.0,,,,,,,232.0,
594.0,,,,,,127.0,78.0,,66.0,54.0,2.0,22.0,,,92.0,,14.0,52.0,
595.0,,,,,,278.0,77.0,,67.0,55.0,1.0,,,,,,,247.0,
596.0,,,326.0,,,278.0,78.0,,,,,,,,,,,,
391.0,,,110.0,,,127.0,78.0,128.0,,54.0,1.0,,,,,,,52.0,
597.0,,,,,,127.0,78.0,84.0,67.0,55.0,0.0,,,,,,,318.0,
394.0,84.0,,275.0,334.0,,127.0,78.0,128.0,62.0,54.0,,22.0,,,265.0,84.0,312.0,52.0,
598.0,,,,,,278.0,78.0,,67.0,55.0,0.0,,,,,,,237.0,
599.0,,,,334.0,,278.0,77.0,84.0,58.0,55.0,,,,,,,,247.0,157.0
400.0,,,,,,127.0,78.0,128.0,67.0,55.0,0.0,223.0,,,,84.0,215.0,52.0,
600.0,,,110.0,,,278.0,78.0,,,53.0,0.0,,,,,,,247.0,
601.0,,,,,,127.0,,128.0,59.0,55.0,0.0,222.0,,,,,,52.0,
602.0,,,,,,,,,,,,,,,,,,,
603.0,84.0,,,157.0,,127.0,78.0,,67.0,55.0,,,331.0,,265.0,84.0,312.0,237.0,157.0
412.0,,,,,,127.0,77.0,,,,209.0,,,,,,,,
604.0,297.0,,110.0,200.0,,127.0,78.0,281.0,66.0,55.0,,23.0,,183.0,,84.0,14.0,52.0,
605.0,84.0,,,157.0,,127.0,78.0,84.0,257.0,55.0,0.0,,,301.0,,84.0,14.0,248.0,157.0
606.0,,,324.0,,,127.0,78.0,129.0,66.0,55.0,,223.0,,,,298.0,,52.0,157.0
607.0,,,,,,,,,,,,,,,,,,,
608.0,,,,,,278.0,78.0,,67.0,55.0,,,,,,,,,
609.0,,,,,,127.0,78.0,,,54.0,0.0,222.0,,,265.0,84.0,311.0,,
610.0,,,,,,127.0,78.0,128.0,65.0,54.0,1.0,,,,,,,52.0,
611.0,,,,,,278.0,78.0,,67.0,55.0,0.0,,,,,,,237.0,
423.0,297.0,,110.0,310.0,,127.0,77.0,,259.0,55.0,,23.0,,183.0,,,14.0,52.0,
612.0,,,,,,127.0,77.0,84.0,67.0,55.0,0.0,,,,,84.0,,230.0,
613.0,,,,,,127.0,77.0,,,,,,,,,,,,
34.0,,,,,,127.0,78.0,,65.0,55.0,,,,,92.0,,,,
427.0,,,,,,127.0,78.0,128.0,71.0,55.0,,22.0,,,92.0,,,52.0,
428.0,296.0,,,310.0,,127.0,78.0,128.0,257.0,55.0,,223.0,52.0,183.0,,,14.0,52.0,
431.0,,,275.0,,,127.0,78.0,,,,,,,,,,,,
348.0,297.0,,110.0,202.0,,127.0,78.0,128.0,67.0,55.0,,,,,,84.0,,52.0,
434.0,,,273.0,,,278.0,78.0,128.0,64.0,55.0,,222.0,,,,84.0,15.0,52.0,
614.0,,323.0,327.0,,329.0,278.0,78.0,128.0,64.0,54.0,,,,,101.0,84.0,15.0,52.0,
615.0,,,,,,278.0,77.0,,,,,,,,,,,,
616.0,,,273.0,,,278.0,77.0,84.0,61.0,55.0,,,330.0,,,84.0,,237.0,
436.0,,,275.0,,,127.0,78.0,,,,,,,,,,,,
617.0,,,110.0,,,127.0,78.0,,257.0,55.0,,22.0,,,101.0,84.0,,322.0,
618.0,,,275.0,,,278.0,78.0,,,55.0,0.0,,,,,84.0,,247.0,
363.0,84.0,,,202.0,,127.0,78.0,128.0,,55.0,,,,,,84.0,,52.0,
619.0,,,,,,278.0,78.0,,257.0,55.0,0.0,,,,,,,321.0,
438.0,,,,,,127.0,78.0,,255.0,55.0,,,,,265.0,84.0,216.0,52.0,
620.0,,,110.0,,,278.0,78.0,,,,,,,,,84.0,,,
621.0,,,,157.0,,278.0,77.0,84.0,259.0,55.0,209.0,,,,,,,237.0,157.0
622.0,,,,157.0,,127.0,78.0,84.0,61.0,55.0,1.0,,,,,84.0,,319.0,157.0
623.0,,,,,,127.0,77.0,,,,,,,,,,,,
483.0,,,,,,127.0,78.0,128.0,66.0,55.0,,220.0,,,,84.0,15.0,52.0,
624.0,,,110.0,,,127.0,77.0,84.0,,,,,,,,,,,
625.0,,,328.0,,,278.0,78.0,,67.0,55.0,1.0,,,,,,,319.0,
626.0,,,110.0,,,127.0,78.0,,257.0,55.0,0.0,22.0,,,,84.0,216.0,248.0,
627.0,,,275.0,,,278.0,78.0,,67.0,55.0,1.0,,,,265.0,,,247.0,
514.0,,,110.0,,,127.0,78.0,128.0,257.0,55.0,,223.0,,,265.0,84.0,,52.0,
628.0,,,110.0,,,127.0,78.0,,71.0,54.0,,22.0,,,101.0,84.0,311.0,236.0,
629.0,,,,,,127.0,77.0,,259.0,55.0,208.0,22.0,,,,84.0,,229.0,
461.0,,,,,,127.0,77.0,,,53.0,,,,,,,,52.0,
630.0,,,110.0,,,278.0,78.0,84.0,62.0,55.0,0.0,,,,,,,318.0,
631.0,,,,,,278.0,78.0,84.0,255.0,55.0,1.0,,,,,84.0,,318.0,157.0
632.0,,,,157.0,,127.0,78.0,,257.0,54.0,,22.0,,,,,,236.0,
553.0,,,,,,127.0,77.0,,259.0,55.0,211.0,221.0,,,,,15.0,52.0,
633.0,,,328.0,157.0,,278.0,78.0,84.0,257.0,55.0,0.0,,,,,84.0,,247.0,157.0
634.0,,,,202.0,,127.0,78.0,281.0,64.0,55.0,208.0,22.0,,,265.0,263.0,217.0,315.0,
370.0,,,275.0,,,127.0,77.0,,259.0,55.0,,220.0,,,,,15.0,52.0,
635.0,,,273.0,,,278.0,77.0,84.0,62.0,54.0,,,,,101.0,,,321.0,
636.0,,,,,,278.0,77.0,,67.0,55.0,0.0,,,,,,,318.0,
637.0,,,,,,127.0,78.0,,,,,,,,,,,,
475.0,,,110.0,,,127.0,78.0,128.0,,55.0,,,,,265.0,84.0,,52.0,
638.0,,,,,,,,,,,,,,,,,,,
639.0,,,110.0,,,278.0,78.0,,71.0,55.0,2.0,,,,,,217.0,247.0,
640.0,,,,334.0,,278.0,77.0,84.0,67.0,55.0,,,,,265.0,,,228.0,157.0
480.0,,,,,,127.0,78.0,,66.0,55.0,3.0,223.0,,183.0,265.0,84.0,14.0,232.0,
