user_id,work_location_id,first_name,last_name,work_start_date,languages_id,locale,education_classes_id,location_id,education_year_id,work_with_id,education_type,education_with_id,birthday,education_degree_id,work_employer_id,work_position_id,gender,hometown_id,education_concentration_id,education_school_id,work_end_date
1.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
2.0,,,114.0,,98.0,126.0,,135.0,57.0,,55.0,,,,,,78.0,,,35.0,
3.0,137.0,,,202.0,92.0,127.0,,137.0,65.0,,55.0,,7.0,,,,78.0,,14.0,50.0,170.0
4.0,,,,,,127.0,,,,,55.0,56.0,,,,,78.0,,,50.0,
5.0,,,,,,127.0,,,65.0,,54.0,,,,,,78.0,,,50.0,
6.0,,,111.0,157.0,,127.0,,,62.0,,55.0,,1.0,,,,78.0,,,,157.0
7.0,,,107.0,196.0,,127.0,,137.0,59.0,,55.0,,,,144.0,,78.0,,13.0,50.0,
8.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
9.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
10.0,,,,200.0,,127.0,,137.0,65.0,,55.0,,6.0,,50.0,,78.0,,14.0,50.0,157.0
11.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
12.0,,,,,,127.0,,,,,55.0,,,,,,77.0,,,39.0,
13.0,,,,,100.0,127.0,,137.0,65.0,,55.0,,7.0,,,,78.0,,,50.0,
14.0,129.0,,108.0,,,127.0,,,,,55.0,,,,,,78.0,,,39.0,157.0
15.0,,,,157.0,,127.0,,,,,54.0,,,,,,77.0,,,43.0,
16.0,,,,,,127.0,,137.0,64.0,,55.0,,5.0,,144.0,,77.0,,,50.0,
17.0,175.0,,,,,127.0,,129.0,,,55.0,,0.0,,,,78.0,,,39.0,157.0
18.0,,,,,,127.0,,,66.0,,55.0,,,22.0,,,77.0,,,50.0,
19.0,,,,,,127.0,,,66.0,,55.0,,,,,,78.0,81.0,15.0,39.0,
20.0,,,,166.0,,127.0,,,67.0,,55.0,,1.0,,,,78.0,,,,
21.0,,,,,96.0,127.0,,,,,,,5.0,,,,77.0,,,,
22.0,,,,,,127.0,,,66.0,,55.0,,,,,,78.0,,17.0,50.0,
23.0,,,,,,127.0,,132.0,65.0,,55.0,,,,,,77.0,,,47.0,
24.0,137.0,,110.0,171.0,,127.0,,132.0,72.0,,55.0,,,,,,78.0,,19.0,50.0,
25.0,137.0,,,202.0,,127.0,,132.0,65.0,,55.0,,,,50.0,193.0,78.0,,14.0,50.0,172.0
26.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
27.0,,,,165.0,,127.0,,,65.0,,55.0,,,,,,78.0,,,50.0,157.0
28.0,,,108.0,,,127.0,,,,,,,,,,,77.0,,,,
29.0,137.0,,,165.0,,126.0,,134.0,66.0,,55.0,,,,,,77.0,,,50.0,166.0
30.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
31.0,132.0,,,,,127.0,,,65.0,,55.0,,,,50.0,,78.0,,,50.0,157.0
32.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
33.0,,,118.0,162.0,,127.0,,134.0,,,55.0,,,,,,78.0,,14.0,,161.0
34.0,,,,196.0,92.0,127.0,,,65.0,,55.0,,,,,,78.0,,,,
35.0,,,,,,127.0,,88.0,,,55.0,,,,,,78.0,88.0,,45.0,
36.0,,,,,,127.0,,,62.0,,55.0,,,22.0,,,77.0,,16.0,49.0,
37.0,,,109.0,168.0,,127.0,,,63.0,,55.0,,,,50.0,193.0,77.0,,,,169.0
38.0,180.0,,,169.0,,127.0,,,72.0,,55.0,,,,154.0,,78.0,,14.0,50.0,166.0
39.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
40.0,,,,168.0,101.0,127.0,,137.0,72.0,,55.0,,5.0,,155.0,186.0,78.0,,14.0,50.0,170.0
41.0,,,,,,127.0,,129.0,,,,,,,,,78.0,,,,
42.0,,,118.0,157.0,,127.0,,,,,55.0,,,,,,78.0,,,,157.0
43.0,,,,201.0,,127.0,,,66.0,,55.0,,3.0,,,,77.0,,,,
44.0,,,,,,127.0,,,58.0,,55.0,,,,,,78.0,81.0,,39.0,168.0
45.0,,,,,,127.0,,132.0,,,55.0,,6.0,,,,77.0,,,50.0,
46.0,,,104.0,,,127.0,,,,,55.0,,,,,,78.0,,,45.0,
47.0,,,,,,127.0,,,72.0,,55.0,,,,,,77.0,,13.0,50.0,
48.0,,,,157.0,92.0,127.0,,132.0,64.0,,55.0,,,,,,77.0,,,50.0,157.0
49.0,,,,169.0,92.0,127.0,,,67.0,,55.0,,,,,,77.0,,,31.0,157.0
50.0,,,118.0,157.0,,127.0,,,72.0,,53.0,,,,,,78.0,,,50.0,
51.0,,,,,,126.0,,,,,,,,,,,77.0,,,,
52.0,,,,,,127.0,,136.0,71.0,,55.0,,,,,,77.0,,,40.0,
53.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
54.0,,,,,100.0,127.0,,133.0,,,,,,,,,78.0,,,,
55.0,,,,,92.0,127.0,,132.0,69.0,,55.0,,,,,,78.0,,14.0,50.0,
56.0,180.0,74.0,109.0,168.0,,127.0,9.0,137.0,65.0,,55.0,,7.0,,155.0,189.0,77.0,,,50.0,170.0
57.0,,,110.0,,,127.0,,132.0,,,54.0,,,,,,78.0,,,50.0,
58.0,,,,,,127.0,,,72.0,,55.0,,,22.0,,,78.0,,14.0,52.0,
59.0,,,109.0,,,127.0,,137.0,64.0,,55.0,,,,,,77.0,89.0,,50.0,
60.0,,,,,,127.0,,,69.0,,53.0,,,,144.0,,77.0,,,50.0,
61.0,,,,,,127.0,,,68.0,,53.0,,,,,,77.0,,,,
62.0,,,,,92.0,127.0,,137.0,,,53.0,,,,,,77.0,,14.0,50.0,
63.0,137.0,,,170.0,101.0,127.0,,,60.0,,53.0,,,,,192.0,78.0,,14.0,50.0,166.0
64.0,,,,,,126.0,,138.0,65.0,,55.0,,6.0,,,,78.0,,,52.0,
65.0,176.0,,,199.0,,127.0,,137.0,65.0,,55.0,,7.0,,,193.0,78.0,87.0,,50.0,166.0
66.0,,,,,,127.0,,132.0,62.0,,55.0,,7.0,,,,77.0,,,43.0,
67.0,137.0,,,170.0,101.0,127.0,,132.0,65.0,,55.0,,,,50.0,192.0,78.0,,,50.0,170.0
68.0,,,104.0,,,127.0,,,,,55.0,,,,,,77.0,,,45.0,
69.0,,,,202.0,98.0,127.0,,,65.0,,55.0,,7.0,,,189.0,78.0,,14.0,50.0,170.0
70.0,,,,202.0,,127.0,,,66.0,,55.0,,5.0,,,,78.0,,16.0,,162.0
71.0,176.0,,118.0,171.0,98.0,127.0,,133.0,65.0,,54.0,,,,52.0,193.0,78.0,,,,170.0
72.0,180.0,,,202.0,101.0,127.0,11.0,,64.0,,55.0,,,,155.0,184.0,78.0,,14.0,50.0,172.0
73.0,137.0,,,200.0,97.0,127.0,,137.0,64.0,,55.0,,0.0,22.0,,183.0,78.0,,14.0,50.0,158.0
74.0,,,,,,127.0,,,,,53.0,,,,,,78.0,,,,
75.0,,,,,,127.0,,132.0,63.0,,53.0,,7.0,,,,78.0,,,50.0,
76.0,,,113.0,,100.0,127.0,,,,,53.0,,,,,,78.0,,,,
77.0,,,,199.0,,127.0,,137.0,,,55.0,,,,150.0,193.0,,,14.0,50.0,166.0
78.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
79.0,132.0,,,,101.0,127.0,,132.0,67.0,,53.0,,,,,,78.0,,,50.0,
80.0,138.0,,,168.0,92.0,127.0,,138.0,71.0,,55.0,,,,151.0,192.0,77.0,,,50.0,166.0
81.0,,,,,103.0,127.0,,128.0,63.0,,55.0,,,23.0,,184.0,77.0,,14.0,52.0,170.0
82.0,,,,,100.0,127.0,,,71.0,,55.0,,7.0,,,,78.0,83.0,16.0,50.0,
83.0,,,,,,126.0,,,65.0,,55.0,,,,,,77.0,,,47.0,
84.0,,,,157.0,,127.0,,132.0,63.0,,55.0,,,,,,77.0,,,50.0,157.0
85.0,,,,200.0,,127.0,,,63.0,,55.0,,7.0,,144.0,,78.0,,14.0,50.0,
86.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
87.0,,,107.0,,,127.0,,,65.0,,55.0,,5.0,,,,78.0,,,50.0,
88.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
89.0,,,115.0,,,127.0,,,,,,,,,,,78.0,,,,
90.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
91.0,,,,158.0,,127.0,,128.0,72.0,,55.0,,3.0,,149.0,,78.0,,,52.0,
92.0,,,,,,127.0,,132.0,64.0,,54.0,,1.0,22.0,,,78.0,,19.0,50.0,
93.0,,,,157.0,92.0,127.0,,,,,55.0,,,,,,78.0,81.0,,,
94.0,,,,168.0,,127.0,,,64.0,,55.0,,,,150.0,,77.0,,,50.0,171.0
