user_id,last_name,locale,education_type,hometown_id,education_concentration_id,location_id,first_name,work_employer_id,middle_name,education_school_id,work_with_id,education_with_id,work_end_date,work_start_date,languages_id,work_from_id,birthday,work_projects_id,work_position_id,work_location_id,education_year_id,education_degree_id,gender
896.0,276.0,278.0,55.0,,217.0,,,536.0,,536.0,,,,,,,4.0,,,,62.0,,78.0
897.0,597.0,127.0,,,,,,,,,,,,,,,,,,,,,77.0
898.0,273.0,127.0,55.0,84.0,,,,,,229.0,,,,,265.0,,,,,,61.0,,78.0
899.0,275.0,127.0,,,,,,,,,,,,,,,,,,,,,77.0
900.0,599.0,127.0,54.0,84.0,15.0,617.0,,667.0,,538.0,,,157.0,157.0,,,,,193.0,,64.0,21.0,78.0
901.0,,127.0,,,,138.0,,,,,,,,,,,,,,,,,78.0
902.0,272.0,127.0,55.0,,,,,,,536.0,,,,,,,4.0,,,,62.0,,78.0
903.0,,127.0,,,,,,,,,,,,,,,,,,,,,78.0
904.0,,127.0,55.0,,,128.0,,,,52.0,,,,,,,,,,,65.0,,78.0
905.0,267.0,127.0,53.0,,,,,,,52.0,,,,,,,,,,,66.0,,78.0
906.0,269.0,127.0,,84.0,,298.0,,,,,,,,,101.0,,,,,,,,78.0
907.0,,127.0,,263.0,,,,,,,,,,,,,,,,,,,77.0
908.0,,127.0,55.0,178.0,18.0,617.0,,,,538.0,,,,,573.0,,,,,,62.0,22.0,77.0
909.0,,127.0,55.0,,415.0,,,642.0,,246.0,,,168.0,170.0,,,,,,134.0,69.0,433.0,78.0
910.0,,127.0,,,,,,,,,,,,,,,,,,,,,77.0
911.0,110.0,127.0,,,,,,,,,,,,,,,,,,,,,77.0
912.0,,127.0,,,,,,,,,,,,,,,,,,,,,78.0
913.0,599.0,127.0,55.0,84.0,14.0,284.0,,150.0,,451.0,,,170.0,200.0,265.0,,,,,686.0,72.0,22.0,78.0
914.0,,127.0,55.0,298.0,216.0,129.0,,,,52.0,,,,310.0,265.0,,4.0,,691.0,,66.0,,78.0
915.0,,127.0,55.0,298.0,389.0,128.0,,,,52.0,,,170.0,169.0,,,4.0,,,,69.0,223.0,78.0
916.0,587.0,127.0,55.0,,,,,,,538.0,,,,,,,5.0,,,,66.0,,77.0
917.0,603.0,127.0,55.0,84.0,18.0,84.0,,151.0,,537.0,,,167.0,201.0,265.0,,5.0,,192.0,134.0,,,78.0
918.0,,127.0,54.0,,,,,,,,,,,,,,,,193.0,,,,77.0
919.0,327.0,278.0,55.0,,215.0,,,,,525.0,,,,157.0,,,6.0,,,,69.0,,77.0
920.0,,127.0,55.0,,18.0,,,,,538.0,,,,,,,,,,,66.0,,77.0
921.0,273.0,127.0,55.0,84.0,392.0,617.0,,,,538.0,,,168.0,166.0,,,4.0,,,,66.0,,78.0
922.0,582.0,127.0,55.0,,,,,,,538.0,,,,,,,,,,,72.0,,78.0
923.0,,126.0,,,,,,,,,,,,,,,,,,,,,77.0
924.0,267.0,127.0,55.0,,409.0,298.0,,,,479.0,,,,,574.0,,6.0,,,,65.0,,78.0
925.0,601.0,127.0,55.0,,417.0,,,,,538.0,,,,,,,3.0,,,,71.0,433.0,77.0
926.0,,127.0,,,,,,656.0,,,,,,157.0,,,,,,,,,78.0
927.0,273.0,127.0,,,,,,,,,,,,,,,,,,,,,78.0
928.0,,127.0,54.0,,14.0,281.0,,150.0,,,,,172.0,310.0,,,0.0,,183.0,281.0,60.0,22.0,78.0
929.0,,127.0,,,,,,,,,,,,,,,,,,,,,78.0
930.0,581.0,127.0,55.0,263.0,424.0,128.0,,,,52.0,,,170.0,171.0,265.0,,3.0,,700.0,264.0,64.0,22.0,78.0
931.0,,278.0,55.0,84.0,429.0,,,,,247.0,,,,,265.0,,3.0,,,,72.0,21.0,78.0
932.0,,127.0,55.0,84.0,,615.0,,648.0,,538.0,,,172.0,171.0,265.0,,6.0,,193.0,615.0,65.0,,78.0
933.0,,278.0,55.0,84.0,404.0,84.0,,,,229.0,,,,,,,6.0,,,,64.0,,77.0
934.0,110.0,127.0,55.0,263.0,392.0,84.0,551.0,,,538.0,,,,,,,5.0,,,,66.0,437.0,78.0
935.0,273.0,126.0,55.0,84.0,15.0,298.0,,,,513.0,,,,,265.0,,,,,,69.0,,78.0
936.0,273.0,127.0,54.0,,,84.0,,,,52.0,,,,,,,,,,,71.0,,78.0
937.0,273.0,278.0,55.0,,392.0,84.0,,,,,,,,,265.0,,,,,,60.0,,77.0
938.0,,127.0,,,,,,,,,,,,,,,,,,,,,77.0
939.0,,278.0,55.0,84.0,,613.0,,,,316.0,,,171.0,681.0,265.0,,209.0,,696.0,84.0,72.0,23.0,78.0
940.0,273.0,278.0,53.0,84.0,,84.0,,633.0,,536.0,,,201.0,332.0,,,4.0,,,,68.0,,78.0
941.0,110.0,278.0,55.0,,,84.0,,,,,,,,,265.0,,,,,,542.0,,77.0
942.0,,278.0,55.0,84.0,15.0,84.0,557.0,,,319.0,,,,,265.0,,6.0,,,,72.0,,78.0
943.0,275.0,278.0,53.0,,,,,,,445.0,,,,,,,209.0,,,,,,78.0
944.0,270.0,278.0,55.0,,403.0,84.0,,228.0,,235.0,,,,724.0,265.0,,6.0,,,,66.0,,78.0
945.0,,278.0,55.0,,,,,646.0,,314.0,,,157.0,157.0,,,,,,,542.0,,78.0
946.0,590.0,127.0,54.0,,391.0,176.0,,,,538.0,,,,,,,,,,,72.0,,77.0
947.0,596.0,127.0,55.0,84.0,213.0,281.0,,,,538.0,,,172.0,681.0,,,4.0,,,,66.0,22.0,77.0
948.0,110.0,278.0,54.0,,396.0,128.0,,,,525.0,,,167.0,,,,,,,,64.0,,78.0
949.0,,278.0,55.0,,14.0,,,,,228.0,,,,,,,209.0,,,,259.0,,78.0
950.0,602.0,127.0,55.0,569.0,,617.0,,,,538.0,,,,,573.0,,210.0,,,617.0,65.0,22.0,78.0
951.0,,127.0,55.0,,14.0,,,538.0,,538.0,,,,199.0,,,,,,,66.0,433.0,78.0
952.0,110.0,127.0,55.0,,,,,,,538.0,,,,,,,4.0,,,,66.0,,78.0
953.0,268.0,127.0,55.0,84.0,392.0,84.0,,,,538.0,,,,,,,6.0,,,,72.0,,77.0
954.0,275.0,,55.0,84.0,15.0,84.0,,248.0,,230.0,,,,,574.0,,6.0,,,,64.0,,77.0
955.0,,127.0,,,,,,150.0,,,,,158.0,195.0,,,,,,177.0,,,78.0
956.0,,127.0,55.0,,,,,,,52.0,,,,,,,3.0,,,,,,78.0
957.0,594.0,278.0,55.0,,,,,518.0,,247.0,,,,,,,5.0,,,,62.0,,78.0
958.0,,127.0,,,,,,,,,,,,,,,,,,,,,78.0
959.0,,127.0,53.0,,426.0,,,,,,,,,,,,377.0,,,,68.0,,77.0
960.0,110.0,127.0,55.0,,,617.0,,,,538.0,,,,169.0,,,,,193.0,84.0,63.0,,78.0
961.0,273.0,127.0,55.0,,14.0,,,,,538.0,,,676.0,722.0,,,,,,179.0,65.0,438.0,78.0
962.0,,127.0,55.0,84.0,15.0,,,,,52.0,,,,,,,5.0,,,,69.0,,78.0
963.0,,127.0,55.0,,393.0,,,151.0,,52.0,,,172.0,203.0,92.0,,,712.0,184.0,179.0,64.0,223.0,78.0
964.0,584.0,127.0,55.0,,,,,637.0,,515.0,,,678.0,,,,,,701.0,,65.0,,78.0
965.0,110.0,278.0,55.0,264.0,,264.0,,,,237.0,,,,,92.0,,,,,,72.0,,77.0
966.0,575.0,127.0,55.0,,411.0,84.0,552.0,,,538.0,,,169.0,307.0,,,5.0,,,84.0,64.0,,78.0
967.0,273.0,127.0,,,,,555.0,,,,,,,,,,,,,,,,77.0
968.0,590.0,127.0,55.0,84.0,13.0,,,228.0,,249.0,,,,,,,,,,,65.0,22.0,78.0
969.0,,278.0,,,,,557.0,,,,,,,,,,,,,,,,78.0
970.0,602.0,127.0,54.0,,,617.0,,538.0,,538.0,,,,723.0,,,2.0,,,,61.0,,78.0
971.0,273.0,278.0,55.0,,,,,,,530.0,,,,,,,6.0,,,,64.0,,78.0
972.0,273.0,127.0,,,,,,,,,,,,,,,,,,,,,77.0
973.0,595.0,127.0,,,,,,,,,,,,,,,,,,,,,78.0
974.0,584.0,278.0,55.0,,,,,,,,,,,,,,6.0,,,,,,77.0
975.0,110.0,278.0,55.0,,,,,248.0,,536.0,,,,,,,4.0,,,,62.0,,78.0
976.0,275.0,127.0,55.0,84.0,400.0,128.0,,,,52.0,,,,,,,,,,,66.0,,78.0
977.0,,278.0,53.0,,403.0,,,,,228.0,,,,,,,378.0,,,,,,78.0
978.0,110.0,127.0,55.0,,428.0,84.0,,,,538.0,,,,723.0,265.0,,4.0,,687.0,,66.0,,78.0
979.0,275.0,127.0,55.0,,392.0,176.0,,631.0,,461.0,,,162.0,165.0,,,,,193.0,618.0,66.0,,78.0
980.0,275.0,127.0,55.0,,425.0,84.0,550.0,647.0,,538.0,,,,,574.0,,,,,,66.0,,78.0
981.0,272.0,278.0,55.0,,,,,,,536.0,,,,,,,4.0,,,,72.0,,78.0
982.0,275.0,127.0,,,,,,,,,,,,,,,,,,,,,77.0
983.0,,127.0,,,,,,,,,,,,,,,,,,,,,77.0
984.0,,278.0,55.0,,,,,,,,,,,203.0,,,5.0,,,,255.0,,78.0
985.0,,278.0,55.0,,,,,,,,,,,,,,,,,,,,78.0
986.0,274.0,278.0,55.0,,14.0,264.0,,,,229.0,,,,,,,379.0,,,,,,78.0
987.0,,127.0,55.0,,415.0,138.0,,151.0,,246.0,,,162.0,166.0,94.0,,,,302.0,178.0,66.0,,78.0
988.0,,127.0,55.0,,,,,,,237.0,,,,,,,4.0,,,,62.0,,78.0
989.0,599.0,278.0,55.0,,384.0,84.0,,,,237.0,,,,,,,4.0,,,,60.0,,77.0
990.0,,127.0,,,,,,,,,,,,,,,,,,,,,78.0
991.0,,127.0,,,,,,,,,,,,,,,,,,,,,
992.0,,127.0,55.0,,394.0,138.0,,151.0,,251.0,728.0,,681.0,307.0,92.0,,,704.0,700.0,129.0,64.0,,78.0
993.0,110.0,127.0,55.0,84.0,,84.0,,,,538.0,,,,,,,,,,,66.0,,77.0
994.0,600.0,127.0,55.0,84.0,,298.0,,,,526.0,,,,,265.0,,4.0,,,,72.0,,77.0
995.0,110.0,127.0,55.0,84.0,390.0,,,,627.0,538.0,,,,,,,7.0,,,,65.0,,78.0
996.0,,127.0,,,,,,,,,,,,,,,,,,,,,78.0
997.0,110.0,127.0,55.0,,401.0,,,,,538.0,,,,,,,6.0,,,,65.0,,78.0
998.0,,127.0,55.0,,,617.0,,,,538.0,,,,,92.0,,6.0,,,,59.0,,78.0
999.0,275.0,126.0,55.0,,,,,,,504.0,,,,,,,,,,,69.0,,77.0
1000.0,273.0,278.0,55.0,84.0,,84.0,,,,,,,,,574.0,,,,,,59.0,,77.0
1001.0,110.0,126.0,55.0,,392.0,,,,,52.0,,,171.0,202.0,,,7.0,,,,65.0,,77.0
1002.0,,127.0,,,,,,,,,,,,,,,,,,,,,77.0
1003.0,273.0,127.0,55.0,,429.0,617.0,,,,538.0,,,,681.0,,,,,,176.0,72.0,,78.0
1004.0,600.0,127.0,55.0,,,176.0,,,,538.0,,,171.0,332.0,,,,,,,71.0,,77.0
1005.0,110.0,278.0,55.0,,,,,637.0,,515.0,,,,157.0,,,2.0,,,,60.0,,78.0
1006.0,,127.0,55.0,,383.0,617.0,,,,538.0,,,,,,,5.0,,,,72.0,,78.0
1007.0,603.0,127.0,55.0,,,,,,,230.0,,,,,,,5.0,,,,69.0,,78.0
1008.0,,127.0,55.0,,392.0,129.0,,538.0,,538.0,,,,157.0,573.0,,6.0,,184.0,129.0,72.0,,78.0
1009.0,606.0,278.0,55.0,,,,556.0,,,237.0,,,,,,,4.0,,,,,,77.0
1010.0,271.0,278.0,,298.0,,84.0,,,,,,,,,265.0,,,,,,,,78.0
