user_id,last_name,locale,education_type,gender,hometown_id,education_concentration_id,location_id,first_name,work_employer_id,middle_name,education_classes_id,education_with_id,work_end_date,work_start_date,education_school_id,birthday,work_projects_id,work_position_id,work_location_id,education_year_id,education_degree_id,languages_id
1913.0,,127.0,55.0,78.0,908.0,,610.0,,,,,,,725.0,533.0,5.0,,,,66.0,,
1914.0,,127.0,55.0,78.0,903.0,,,,,,,,,,787.0,7.0,,,,65.0,,
1915.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
1916.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
1917.0,,932.0,55.0,78.0,908.0,,907.0,,,,,,,,827.0,5.0,,,,72.0,,914.0
1918.0,,127.0,55.0,77.0,,,902.0,,,943.0,,,,166.0,803.0,5.0,,,,66.0,,
1919.0,595.0,127.0,,77.0,,,,892.0,,,,,,,,,,,,,,
1920.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
1921.0,,127.0,55.0,77.0,,,,,,,,,,,50.0,,,,,72.0,,
1922.0,,127.0,55.0,78.0,,14.0,176.0,,,,,,166.0,201.0,442.0,210.0,,189.0,176.0,69.0,,101.0
1923.0,,127.0,55.0,78.0,,,176.0,,,,,,,,460.0,,,,,62.0,,
1924.0,,127.0,55.0,78.0,908.0,,,,,,,,,,864.0,7.0,,,,,,
1925.0,,127.0,55.0,77.0,,,908.0,,958.0,,,,,,789.0,,,,,,,
1926.0,,127.0,55.0,77.0,908.0,,176.0,,970.0,,,,,157.0,444.0,,,,,63.0,,
1927.0,,127.0,,77.0,134.0,,134.0,,,,,,,,,377.0,,,,,,
1928.0,,127.0,55.0,77.0,,,,,,,,,,,787.0,377.0,,,,66.0,,
1929.0,,126.0,55.0,77.0,,,,,,,,,202.0,200.0,834.0,5.0,,,,61.0,,
1930.0,,127.0,,77.0,,,176.0,,,,,,,,,,,,,,,
1931.0,,127.0,55.0,78.0,903.0,394.0,134.0,,,,,,,,504.0,,,,,69.0,,
1932.0,,127.0,55.0,78.0,,766.0,134.0,,,,,,,,533.0,4.0,,,,69.0,22.0,
1933.0,602.0,127.0,55.0,78.0,,,,,,,,,,,442.0,6.0,,,,69.0,,
1934.0,,127.0,55.0,78.0,,,176.0,,,,,,,,442.0,,,,,,,
1935.0,,127.0,55.0,77.0,,394.0,,,,,,,,,787.0,,,,,69.0,,
1936.0,,127.0,55.0,78.0,,392.0,,,,,,,,,442.0,,,,,69.0,,
1937.0,,127.0,55.0,78.0,,,,,,,,,,,442.0,,,,,59.0,,
1938.0,,127.0,55.0,77.0,,,568.0,,,,,,,157.0,834.0,5.0,,,,,,
1939.0,,127.0,55.0,78.0,911.0,427.0,,,,,,,,,879.0,2.0,,,,65.0,,
1940.0,,127.0,55.0,77.0,,,,,,,,,,166.0,869.0,,,,,66.0,,915.0
1941.0,,127.0,55.0,78.0,908.0,215.0,176.0,,,,,883.0,,,879.0,5.0,,,,69.0,,
1942.0,,932.0,55.0,77.0,908.0,,,,,,,,157.0,201.0,863.0,6.0,,,908.0,66.0,,
1943.0,,127.0,55.0,78.0,908.0,15.0,,,,,746.0,,169.0,1002.0,834.0,5.0,,,908.0,,21.0,914.0
1944.0,,127.0,55.0,77.0,,416.0,908.0,,957.0,,,,157.0,157.0,444.0,736.0,,,977.0,258.0,20.0,
1945.0,,127.0,55.0,77.0,,394.0,,,947.0,,,,157.0,157.0,798.0,,,,978.0,,,
1946.0,,932.0,55.0,78.0,,,,,,,,,,,852.0,5.0,,,,888.0,,
1947.0,,127.0,55.0,78.0,,427.0,128.0,,52.0,,,,157.0,162.0,52.0,,,699.0,,68.0,22.0,
1948.0,,127.0,55.0,78.0,908.0,766.0,,,,,757.0,,,,851.0,,,,,64.0,,
1949.0,,127.0,55.0,77.0,,16.0,176.0,,,,,,170.0,168.0,861.0,,,,,66.0,,92.0
1950.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
1951.0,,127.0,55.0,77.0,,,134.0,,,,,,157.0,157.0,481.0,7.0,,,134.0,65.0,,
1952.0,918.0,127.0,,78.0,,,,,,,,,,,,,,,,,,
1953.0,,932.0,55.0,78.0,908.0,,908.0,,,,,,,,803.0,5.0,,,,,,
1954.0,,127.0,55.0,77.0,,398.0,,,,,,,,,461.0,210.0,,,,66.0,,
1955.0,,127.0,55.0,78.0,,,283.0,,958.0,,,,,,239.0,6.0,,,,65.0,,
1956.0,,127.0,54.0,78.0,82.0,,176.0,,,,,,,,,,,,,72.0,,
1957.0,,127.0,55.0,78.0,,,,,,,,,,,787.0,6.0,,,,69.0,,
1958.0,,,55.0,77.0,,,,,,,,,,,,,,,,60.0,,
1959.0,,127.0,55.0,78.0,904.0,216.0,128.0,,,,,,,,52.0,5.0,,,,72.0,22.0,92.0
1960.0,,127.0,55.0,77.0,,416.0,176.0,,973.0,,,,166.0,199.0,442.0,,,,176.0,69.0,,265.0
1961.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
1962.0,,932.0,55.0,78.0,,,902.0,,,,,,157.0,157.0,803.0,5.0,,,,,,
1963.0,,127.0,53.0,77.0,908.0,,,,,,,,,,,,,,,,,
1964.0,923.0,127.0,55.0,78.0,908.0,416.0,176.0,,,,,,,,782.0,,,,,72.0,,
1965.0,,127.0,,77.0,,,176.0,891.0,,,,,,,,,,,,,,
1966.0,,127.0,55.0,78.0,908.0,,908.0,,663.0,,,,,680.0,852.0,5.0,,,,69.0,,92.0
1967.0,,127.0,55.0,78.0,,,129.0,,,,,,,,52.0,,,,,,,94.0
1968.0,,,55.0,77.0,,,941.0,,,,,,161.0,,787.0,739.0,,,,72.0,,
1969.0,,127.0,55.0,77.0,,,,,,,,,,,,6.0,,,,64.0,,
1970.0,,127.0,55.0,77.0,908.0,,129.0,895.0,972.0,,745.0,,,,52.0,,,,,63.0,224.0,
1971.0,,126.0,55.0,77.0,,,933.0,,,,,,157.0,196.0,834.0,,,193.0,,72.0,,92.0
