user_id,work_location_id,first_name,last_name,work_start_date,name,locale,gender,location_id,education_year_id,education_type,education_with_id,birthday,education_degree_id,work_employer_id,work_position_id,languages_id,hometown_id,education_concentration_id,education_school_id,work_end_date
3438.0,,,,,,127.0,77.0,,,,,,,,,,,,,
3439.0,,,1139.0,,,127.0,78.0,,,,,,,,,,,,,
3440.0,,,,,,127.0,78.0,,,,,,,,,,,,,
3441.0,,,,,,127.0,78.0,,64.0,55.0,,,,,,,,216.0,538.0,
3442.0,,,,,,127.0,78.0,,,55.0,,,,1255.0,,,283.0,1176.0,537.0,
3443.0,,,,162.0,,127.0,78.0,,62.0,55.0,,,223.0,,,,,,52.0,157.0
3444.0,,,,,,127.0,77.0,,,,,,,,,,,,,
3445.0,,,,,,127.0,78.0,,62.0,54.0,,209.0,,,,,,13.0,,
3446.0,,,,,,127.0,77.0,,69.0,55.0,,,,,,,,,1192.0,
3447.0,,1218.0,,,,127.0,78.0,,255.0,55.0,,,,,,,,,861.0,
3448.0,,,,,,127.0,78.0,619.0,71.0,55.0,,0.0,22.0,,,,619.0,,537.0,
3449.0,179.0,,,157.0,,127.0,78.0,179.0,,55.0,,,,1210.0,,,,,537.0,157.0
3450.0,619.0,,,157.0,,127.0,77.0,,,,,,,1255.0,,,,,,157.0
3451.0,,,,675.0,,127.0,77.0,,72.0,55.0,,,,,,,,,1192.0,157.0
3452.0,,546.0,,713.0,,127.0,78.0,619.0,,55.0,,3.0,,,,92.0,,1175.0,537.0,157.0
3453.0,,,,,,127.0,78.0,,,,,,,,,,,,,
3454.0,284.0,,,158.0,,127.0,78.0,,65.0,55.0,,,,,,,,15.0,52.0,
3455.0,,,1242.0,,,127.0,77.0,,66.0,55.0,,,,537.0,,573.0,82.0,392.0,537.0,157.0
3456.0,,,,,,127.0,,,,,,,,,,,,,,
3457.0,176.0,,,,,127.0,78.0,176.0,66.0,55.0,,209.0,,537.0,,,,,537.0,
3458.0,,,,310.0,,127.0,77.0,,62.0,55.0,,209.0,,1156.0,,,,,52.0,718.0
3459.0,176.0,,106.0,157.0,,127.0,77.0,138.0,62.0,55.0,,1.0,,,,,618.0,397.0,52.0,157.0
3460.0,283.0,,602.0,375.0,,127.0,77.0,,61.0,55.0,,,,,,573.0,,338.0,52.0,720.0
3461.0,,,,,,127.0,78.0,,,,,,,,,,,,,
3462.0,,,,,,127.0,77.0,,,,,,,,,,,,,
3463.0,179.0,,,198.0,,127.0,78.0,281.0,71.0,55.0,,,,,,,,1009.0,52.0,198.0
3464.0,,,,,,127.0,77.0,,,,,,,,,,,,,
3465.0,,,581.0,,,127.0,77.0,,,,,,,,,,1222.0,,,
