user_id,work_location_id,first_name,last_name,work_start_date,locale,gender,location_id,education_year_id,education_type,education_with_id,birthday,education_degree_id,work_employer_id,work_position_id,languages_id,hometown_id,education_concentration_id,education_school_id,work_end_date
349.0,84.0,,273.0,,127.0,78.0,,65.0,55.0,,,,289.0,303.0,265.0,,15.0,228.0,
350.0,,,,,127.0,78.0,84.0,259.0,55.0,,2.0,,,,,,,246.0,
351.0,,,,,127.0,78.0,,257.0,55.0,,0.0,224.0,,,,,,,
352.0,,,273.0,,278.0,78.0,,65.0,55.0,,,22.0,52.0,,92.0,,213.0,,171.0
353.0,,,,,127.0,77.0,,,,,210.0,,,,,,,,
354.0,,,274.0,,127.0,78.0,,72.0,55.0,,,,,,,84.0,,238.0,
355.0,,,272.0,,127.0,78.0,84.0,67.0,55.0,,0.0,,,,,84.0,217.0,238.0,
356.0,,,269.0,157.0,127.0,77.0,,,53.0,,209.0,,,,,84.0,,,
357.0,,,272.0,157.0,278.0,78.0,,,55.0,,,,290.0,,,,,,
358.0,,,,,,,,,,,,,,,,,,,
359.0,,260.0,271.0,,127.0,78.0,283.0,64.0,54.0,,,22.0,,,,84.0,15.0,239.0,
360.0,,,273.0,,127.0,77.0,,,,,,,,,,,,,
361.0,,,,157.0,278.0,78.0,,67.0,55.0,,1.0,,,,266.0,84.0,,240.0,157.0
362.0,,,,,127.0,77.0,129.0,,55.0,,207.0,,52.0,,,84.0,,52.0,
363.0,84.0,,,202.0,127.0,78.0,128.0,,55.0,,,,,299.0,,84.0,,52.0,170.0
364.0,297.0,,,202.0,127.0,78.0,,65.0,54.0,,,,292.0,,,,,,171.0
365.0,128.0,,,,127.0,78.0,129.0,72.0,55.0,,,223.0,52.0,,94.0,,,52.0,
366.0,,,270.0,,127.0,78.0,,,,,,,,,,,,,
367.0,84.0,,,306.0,278.0,78.0,284.0,61.0,55.0,,0.0,22.0,293.0,,265.0,84.0,15.0,250.0,170.0
368.0,,,,,127.0,78.0,84.0,72.0,55.0,,,,,,,84.0,,52.0,
369.0,,,,,278.0,78.0,84.0,65.0,55.0,,209.0,,,,,,219.0,247.0,
370.0,,,275.0,,127.0,77.0,,259.0,55.0,,,220.0,,,,,15.0,52.0,
371.0,,,275.0,,127.0,77.0,,,,,2.0,,,,,,,,
372.0,,,,,127.0,78.0,,,,,,,,,,,,,
373.0,,,,,127.0,77.0,,,55.0,,,,,,,,216.0,52.0,
34.0,,,,,127.0,78.0,,65.0,55.0,,,,,,92.0,,,,
374.0,,,110.0,,127.0,78.0,128.0,,55.0,,,221.0,,,,,15.0,52.0,
375.0,,,269.0,,127.0,78.0,,69.0,53.0,,210.0,,,,,,,226.0,157.0
376.0,,,272.0,,127.0,78.0,128.0,67.0,55.0,,,,,,,,15.0,52.0,
377.0,,,110.0,,127.0,78.0,,,,,,,,,,,,,
378.0,,,,,278.0,78.0,128.0,64.0,55.0,,1.0,,,,,,15.0,52.0,
379.0,,,274.0,,278.0,77.0,,,55.0,,0.0,,,,,,,,
380.0,,,273.0,,278.0,78.0,,,55.0,,,,,,,,,,
381.0,,,268.0,,278.0,77.0,,,,,,,,,,,,,
382.0,,,,,127.0,78.0,,257.0,55.0,,0.0,,,,265.0,,14.0,232.0,157.0
383.0,,,267.0,,278.0,78.0,84.0,67.0,55.0,,0.0,,,,265.0,263.0,,,
384.0,,,,,127.0,78.0,,,,,,,,,,,,,
385.0,,,110.0,,127.0,77.0,84.0,66.0,53.0,,,,,,,84.0,,239.0,
386.0,,,,,127.0,77.0,84.0,258.0,54.0,,,,,,,84.0,,,
387.0,,,267.0,157.0,127.0,78.0,,67.0,55.0,,,,,,,84.0,,52.0,
388.0,84.0,,273.0,,127.0,78.0,128.0,67.0,55.0,,0.0,220.0,,,,,215.0,52.0,
389.0,,,,,127.0,78.0,,,,,,,,,,,,,
390.0,84.0,,,308.0,127.0,77.0,128.0,64.0,53.0,,,,288.0,,,84.0,,,
198.0,297.0,,,157.0,127.0,77.0,128.0,59.0,55.0,,211.0,,52.0,302.0,92.0,,,52.0,157.0
391.0,,,110.0,,127.0,78.0,128.0,,54.0,,1.0,,,,,,,52.0,
392.0,,,,,127.0,77.0,128.0,259.0,54.0,,209.0,223.0,,,,,14.0,52.0,
393.0,,,,,127.0,77.0,,,54.0,,,,,,,,,,
394.0,84.0,,275.0,,127.0,78.0,128.0,62.0,54.0,,,22.0,,,265.0,84.0,15.0,52.0,294.0
395.0,,,274.0,,127.0,78.0,,66.0,55.0,,,223.0,,,,,15.0,52.0,
396.0,,,273.0,157.0,278.0,78.0,84.0,67.0,55.0,,1.0,,,,,84.0,,240.0,
397.0,,,267.0,,127.0,78.0,281.0,,55.0,,,,,,,,,246.0,
398.0,,,273.0,,127.0,78.0,,66.0,55.0,,,21.0,,,265.0,84.0,218.0,52.0,
399.0,297.0,,,157.0,127.0,77.0,,61.0,55.0,,,,,301.0,,,,,
400.0,,,,,127.0,78.0,128.0,67.0,55.0,,0.0,223.0,,,,84.0,215.0,52.0,
401.0,,,,,127.0,78.0,,,,,,,,,,,,,
402.0,,,110.0,,127.0,78.0,,255.0,55.0,,,,,,,84.0,15.0,52.0,157.0
403.0,,,273.0,308.0,127.0,78.0,,257.0,55.0,,0.0,222.0,,,,84.0,,240.0,
404.0,,,,,278.0,78.0,138.0,,54.0,,3.0,,,,,,,52.0,
405.0,,,274.0,,278.0,78.0,280.0,67.0,55.0,,0.0,,,,,,,247.0,
406.0,,,,,278.0,78.0,,,55.0,,,,,,,,,,
407.0,,,275.0,,127.0,78.0,282.0,255.0,55.0,,209.0,22.0,,,,,13.0,249.0,
408.0,,,,,127.0,78.0,,67.0,55.0,,0.0,,,,,,213.0,52.0,
409.0,,,269.0,,127.0,78.0,,,,,,,,,,,,,
410.0,,,,,278.0,77.0,138.0,,,,,,,,,,,,
411.0,,,,,127.0,77.0,,,55.0,,,,,,,,,,
412.0,,,,,127.0,77.0,,,,,209.0,,,,,,,,
413.0,,,110.0,,127.0,78.0,,,,,,,,,,,,,
414.0,,,,,127.0,78.0,129.0,67.0,55.0,,0.0,,,,,84.0,15.0,52.0,
415.0,,,,157.0,127.0,78.0,,,55.0,,,,52.0,,,,,52.0,157.0
416.0,,,,,127.0,77.0,284.0,66.0,55.0,,5.0,220.0,,,265.0,,213.0,52.0,
417.0,,,277.0,,127.0,77.0,,,,,,,,,,,,,
418.0,,,275.0,157.0,127.0,78.0,280.0,257.0,55.0,,0.0,,,,265.0,84.0,,236.0,157.0
419.0,,,,,127.0,78.0,128.0,68.0,55.0,,,223.0,290.0,,,84.0,15.0,52.0,
420.0,,,,,127.0,78.0,133.0,257.0,55.0,,208.0,22.0,,,,84.0,15.0,52.0,
421.0,,,273.0,,127.0,78.0,284.0,,55.0,,,222.0,52.0,,,,,52.0,
422.0,,,275.0,157.0,278.0,78.0,84.0,,55.0,,208.0,,,,265.0,,15.0,229.0,157.0
423.0,297.0,,110.0,310.0,127.0,77.0,,259.0,55.0,,,,,183.0,,,14.0,52.0,
424.0,,,110.0,157.0,278.0,78.0,,,,,,,290.0,,,,,,
425.0,,,276.0,,127.0,78.0,,,,,212.0,,,,,,,,
426.0,,,273.0,,127.0,78.0,84.0,,54.0,,1.0,,,,,,,246.0,
427.0,,,,,127.0,78.0,128.0,64.0,55.0,,,22.0,,,92.0,,,52.0,
428.0,296.0,,,310.0,127.0,78.0,128.0,257.0,55.0,,,223.0,52.0,183.0,,,14.0,52.0,294.0
429.0,,,,,127.0,77.0,,63.0,54.0,,,,,,,,,239.0,
430.0,,,,,127.0,78.0,,,,,,,,,,,,,
431.0,,,275.0,,127.0,78.0,,,,,,,,,,,,,
432.0,,,268.0,,127.0,78.0,138.0,257.0,55.0,,,,,,,84.0,,52.0,
433.0,,,,,127.0,78.0,176.0,259.0,55.0,,209.0,22.0,,,,,,228.0,
434.0,,,273.0,,278.0,78.0,128.0,64.0,55.0,,,222.0,,,,84.0,15.0,52.0,
435.0,,,,,278.0,78.0,,257.0,55.0,,0.0,,290.0,,92.0,,14.0,230.0,
436.0,,,275.0,,127.0,78.0,,,,,,,,,,,,,
437.0,84.0,,273.0,,278.0,78.0,84.0,67.0,55.0,,0.0,,286.0,,265.0,84.0,213.0,228.0,157.0
438.0,,,,,127.0,78.0,279.0,255.0,55.0,,,,,,265.0,84.0,216.0,52.0,
439.0,84.0,,,307.0,278.0,78.0,128.0,259.0,55.0,,,223.0,,193.0,265.0,263.0,15.0,52.0,170.0
440.0,,,110.0,,127.0,78.0,,61.0,54.0,,,22.0,,,265.0,,,50.0,
441.0,,,,,127.0,78.0,138.0,63.0,54.0,,,,,,,,,225.0,
442.0,,,,,278.0,77.0,,,,,,,,,,,,,
443.0,,,,,127.0,78.0,,257.0,55.0,,,,,,,,,242.0,157.0
444.0,,,273.0,,278.0,78.0,,258.0,55.0,,208.0,,,,,84.0,,52.0,
445.0,84.0,,,,127.0,78.0,,60.0,54.0,,,22.0,,300.0,,84.0,215.0,52.0,
446.0,,,,,127.0,77.0,128.0,58.0,53.0,,210.0,,,,265.0,84.0,,228.0,
447.0,,,,,,,,,,,,,,,,,,,
448.0,,,110.0,,127.0,78.0,84.0,,,,,,,,,,,,
449.0,,,,157.0,278.0,78.0,,,54.0,,207.0,,,,,,,50.0,157.0
450.0,84.0,,273.0,,127.0,78.0,128.0,67.0,55.0,,0.0,224.0,288.0,,,84.0,214.0,232.0,166.0
451.0,,,,309.0,278.0,78.0,84.0,65.0,55.0,,3.0,21.0,,,,,15.0,52.0,170.0
452.0,,,276.0,308.0,278.0,78.0,,257.0,55.0,,0.0,22.0,52.0,,,264.0,216.0,240.0,157.0
453.0,,,110.0,,127.0,77.0,84.0,,53.0,,,,,,92.0,84.0,,242.0,
454.0,297.0,,,,127.0,78.0,,59.0,55.0,,,224.0,,,,,,,
455.0,,262.0,110.0,,127.0,78.0,84.0,259.0,55.0,,209.0,222.0,,299.0,,84.0,15.0,232.0,157.0
456.0,,,274.0,,127.0,78.0,128.0,66.0,55.0,,,,,,,,218.0,52.0,
457.0,84.0,,,,278.0,78.0,,62.0,55.0,,,,290.0,301.0,,,,235.0,
458.0,,,273.0,,278.0,78.0,282.0,67.0,55.0,,1.0,21.0,,,,,,52.0,
459.0,,,110.0,,278.0,78.0,,,,,,,290.0,,,,,,
460.0,128.0,,110.0,,127.0,78.0,128.0,253.0,55.0,252.0,,,52.0,,265.0,84.0,15.0,52.0,
461.0,,,,,127.0,77.0,,,53.0,,,,,,,,,52.0,
462.0,,,,,127.0,78.0,,67.0,55.0,,0.0,,52.0,,,,,52.0,157.0
463.0,,,,,127.0,77.0,,,,,,,,,,,,,
464.0,,,273.0,,127.0,78.0,,,,,,,,,,,,,
465.0,,,269.0,,127.0,78.0,,,,,,,,,,,,,
466.0,,,273.0,,278.0,78.0,84.0,,55.0,,,,,,,84.0,,,
467.0,,,273.0,157.0,278.0,78.0,,,53.0,,209.0,,,,,,,,
