user_id,last_name,work_start_date,locale,gender,location_id,education_year_id,political,education_type,birthday,education_degree_id,work_employer_id,languages_id,hometown_id,education_concentration_id,education_school_id,work_end_date
3981.0,,,127.0,77.0,128.0,254.0,,55.0,,,52.0,,,14.0,52.0,
3982.0,,1281.0,127.0,78.0,,253.0,,55.0,,,1280.0,,,,,
3983.0,,,127.0,78.0,,,,,,,,,,,,
3984.0,,,127.0,78.0,,,,,,,,,,,,
3985.0,,,127.0,78.0,,,,54.0,,,,,,,,157.0
3986.0,,,127.0,78.0,138.0,1274.0,,55.0,,22.0,,,,,52.0,
3987.0,,,125.0,77.0,,,,55.0,,,,,1275.0,,,
3988.0,,,127.0,78.0,,,,,,,,,,,,
3989.0,,,127.0,78.0,128.0,,,55.0,,22.0,,,,14.0,52.0,
3990.0,1277.0,,125.0,77.0,,,,55.0,6.0,,,,,,,
3991.0,,,127.0,78.0,128.0,,,54.0,,,,,,14.0,52.0,157.0
3992.0,,,127.0,77.0,,1272.0,,55.0,,,,,,,52.0,
3993.0,,157.0,,78.0,,,,55.0,,,,,,,,
3994.0,,,127.0,77.0,,,,,,,,,,,,
3995.0,,,127.0,78.0,,,,,,,,,,,,
594.0,,,127.0,78.0,,62.0,,54.0,,22.0,140.0,92.0,,14.0,52.0,
3996.0,,,127.0,78.0,,,,,,,,,,,,
3997.0,,,127.0,78.0,138.0,,,,,,,,,,,
3998.0,,,127.0,78.0,,,,,,,,,,,,
3999.0,,,127.0,78.0,,,,55.0,,,156.0,,,,52.0,
4000.0,,,127.0,78.0,,,,55.0,,22.0,,,,,,
4001.0,,,127.0,,,,,55.0,,,,,,,,157.0
4002.0,,,127.0,78.0,,1273.0,,55.0,,,140.0,92.0,,14.0,52.0,
4003.0,,,,78.0,,1273.0,,54.0,,22.0,1279.0,92.0,,,,
4004.0,,,127.0,78.0,,1272.0,,55.0,,22.0,154.0,92.0,,14.0,,
4005.0,,,127.0,78.0,,,,54.0,,,156.0,,,,52.0,
4006.0,,,127.0,78.0,,1273.0,,55.0,,,,,,14.0,,
4007.0,1276.0,,125.0,78.0,,,,,6.0,,,,1275.0,,,
4008.0,,,127.0,78.0,,,,,,,,,,,,
4009.0,,,127.0,78.0,,,,,,,,,,,,
4010.0,,157.0,127.0,78.0,,257.0,,55.0,,,,92.0,,,52.0,157.0
4011.0,,,127.0,78.0,,,,,,,,,,,,
4012.0,,157.0,127.0,77.0,,,,,,,,,,,,157.0
4013.0,,,127.0,77.0,128.0,1271.0,1278.0,55.0,,,52.0,,,,,
4014.0,,1282.0,127.0,78.0,,1270.0,,54.0,,22.0,1280.0,,,,,157.0
4015.0,,,125.0,78.0,,1274.0,,55.0,,,,,,,,
4016.0,1276.0,,125.0,78.0,,,,55.0,,,,,,,,
4017.0,,,127.0,78.0,138.0,,,,,,,,,,,
4018.0,,157.0,127.0,77.0,,62.0,,55.0,,,,,,,52.0,157.0
4019.0,,157.0,127.0,78.0,,257.0,,55.0,,22.0,,,,14.0,52.0,157.0
4020.0,,,127.0,,,1273.0,,55.0,,,,,,14.0,52.0,
4021.0,,1281.0,127.0,78.0,138.0,1272.0,,55.0,,,,,,,52.0,
4022.0,,,127.0,77.0,,,,55.0,,,,,,,,157.0
4023.0,,,127.0,78.0,,62.0,,54.0,,,154.0,,,,52.0,157.0
4024.0,,,127.0,77.0,,,,55.0,,,,,,,,
4025.0,1276.0,,125.0,77.0,,,,,,,,,,,,
4026.0,,,127.0,78.0,,,,,,,,,,,,
4027.0,,,127.0,78.0,,,,,,,,,,,,
4028.0,,,127.0,78.0,138.0,254.0,,55.0,,,140.0,92.0,,,52.0,157.0
4029.0,,,127.0,77.0,,,,,,,,,,,,
4030.0,,1282.0,127.0,78.0,,257.0,,55.0,,22.0,140.0,92.0,,14.0,,
4031.0,,718.0,127.0,78.0,,,,54.0,,,154.0,,,,52.0,
4032.0,,,127.0,78.0,,,,,,,,,,,,
4033.0,,,127.0,77.0,,,,,,,,,,,,
4034.0,,,127.0,78.0,,,,55.0,,22.0,154.0,92.0,,14.0,52.0,157.0
4035.0,,,127.0,77.0,,,,55.0,,,,,,14.0,,
4036.0,,,127.0,77.0,,,,55.0,,,,,,,52.0,
4037.0,,,,78.0,,1271.0,,55.0,,,,92.0,,,,
4038.0,,718.0,127.0,78.0,,1271.0,,55.0,,22.0,,92.0,,14.0,,
